Return ID,Customer Name,Product Name,Status,Pincode
1943,Jairaj D’Alia,Drone,Approved,428588
1944,Nisha Rajagopal,AC,Rejected,144926
1945,Adweta Lalla,Air Purifier,Rejected,515834
1946,Xiti Deo,Drone,Approved,897694
1947,Tanvi Arora,AC,Approved,590585
1948,Utkarsh Loyal,AC,Rejected,346508
1949,Ayush Bose,Earbuds,Approved,470156
1950,Lakshmi Seth,Air Purifier,Rejected,667737
1951,Ekaja Jain,AC,Rejected,987397
1952,Shravya Khanna,Drone,Rejected,869943
1953,Avni Nagy,CPU,Rejected,685992
1954,Harini Swamy,Camera,Pending,786064
1955,Udyati Natt,Camera,Rejected,220485
1956,Jalsa Sane,Drone,Rejected,404227
1957,Aadhya Dugar,CPU,Approved,328032
1958,Advaith Khosla,Charger,Pending,003919
1959,Gautam Tank,AC,Rejected,395483
1960,Siya Comar,Charger,Rejected,013528
1961,Mahika Ganesh,CPU,Pending,010658
1962,Triya Sule,Drone,Rejected,327447
1963,Maanav Pal,Air Purifier,Approved,574687
1964,Avni Jani,Earbuds,Approved,850015
1965,Ethan Rajagopalan,Charger,Rejected,406524
1966,Jackson Kala,CPU,Rejected,916547
1967,Arunima Chandran,Earbuds,Approved,837470
1968,Noah Nayar,Air Purifier,Pending,428624
1969,Imaran Mukhopadhyay,Earbuds,Approved,040955
1970,Ekavir Peri,Drone,Approved,238628
1971,Oliver Pal,Air Purifier,Rejected,471553
1972,Daksha Boase,Air Purifier,Approved,642383
1973,Zansi Kale,Camera,Rejected,751987
1974,Dev Anand,Camera,Rejected,338930
1975,Chaitanya Mallick,Earbuds,Rejected,639934
1976,Mugdha Cherian,Charger,Approved,751412
1977,Nandini Seth,Drone,Rejected,579111
1978,Indrajit Kuruvilla,Drone,Rejected,169162
1979,Kamala Rattan,Earbuds,Rejected,318309
1980,Suhani Lad,Air Purifier,Approved,353192
1981,Samarth Madan,CPU,Pending,299501
1982,Shaurya Basak,Earbuds,Approved,750380
1983,Upkaar Samra,Charger,Approved,470259
1984,Chandani Bhattacharyya,Earbuds,Approved,754894
1985,Amol Mohan,Earbuds,Approved,727577
1986,Riya Kant,Drone,Rejected,627874
1987,Vinaya Raju,Air Purifier,Rejected,642356
1988,Kritika Gandhi,Camera,Approved,405246
1989,Dalbir Kara,CPU,Approved,838701
1990,Arunima Ramachandran,Earbuds,Approved,004214
1991,Lajita Karpe,Camera,Rejected,870632
1992,Azad Babu,Earbuds,Pending,097522
1993,Chandani Misra,CPU,Approved,988428
1994,Harish Bera,Earbuds,Approved,895573
1995,Vedhika Dasgupta,Drone,Approved,515687
1996,Ijaya Hari,Air Purifier,Rejected,678992
1997,Oviya Konda,Drone,Rejected,376928
1998,Agastya Nadig,Charger,Pending,863672
1999,Christopher D’Alia,Earbuds,Approved,536002
2000,Indrajit Bains,Charger,Approved,344291
2001,Omaja Mandal,Drone,Approved,029655
2002,Nicholas Kaur,Air Purifier,Rejected,601190
2003,Sanya Sheth,Drone,Rejected,129711
2004,Vritti Butala,Charger,Approved,226045
2005,Rayaan Atwal,Camera,Rejected,282043
2006,Vivaan Deep,Camera,Pending,039052
2007,Nachiket Samra,Drone,Approved,710734
2008,Meera Agarwal,CPU,Rejected,635013
2009,Vasudha Maharaj,CPU,Rejected,485636
2010,Oviya Bhatnagar,CPU,Pending,042871
2011,Lavanya Chandra,Charger,Pending,997140
2012,Kavya Sethi,Earbuds,Pending,599728
2013,Nikita Sane,CPU,Approved,092102
2014,Chaaya Chowdhury,Camera,Approved,659163
2015,Victor Bhatt,Charger,Pending,862463
2016,Mekhala Doshi,Earbuds,Rejected,386473
2017,Jatin Sani,Drone,Approved,041765
2018,Jonathan Ganesh,Air Purifier,Rejected,894488
2019,Diya Bedi,Camera,Approved,014048
2020,Barkha Chaudry,Air Purifier,Approved,155356
2021,Eiravati Sachdeva,Charger,Pending,392522
2022,Jacob Kale,Air Purifier,Rejected,842903
2023,Reva Babu,Earbuds,Rejected,062387
2024,Avi Ahuja,Earbuds,Approved,673622
2025,Tripti Chowdhury,Camera,Approved,170347
2026,Qarin Jaggi,Earbuds,Rejected,022095
2027,Ganga Pandya,Camera,Approved,894641
2028,Pallavi Tak,Air Purifier,Rejected,230900
2029,Andrew Dugar,AC,Rejected,398675
2030,Reyansh Pandit,CPU,Rejected,398785
2031,Hamsini Anand,Camera,Approved,118385
2032,Hredhaan Chatterjee,Air Purifier,Approved,034665
2033,Chatresh Raju,Drone,Approved,880320
2034,Vritti Agarwal,Charger,Rejected,836382
2035,Wahab Varghese,Charger,Rejected,830926
2036,Bhavini Sheth,Charger,Approved,088553
2037,Qushi Dar,Camera,Rejected,741100
2038,Rehaan Subramanian,CPU,Approved,738261
2039,Varsha Padmanabhan,Earbuds,Approved,871990
2040,Tanveer Mammen,Air Purifier,Approved,787425
2041,Yatan Dash,Earbuds,Approved,314657
2042,Frado Kalita,Drone,Rejected,826726
2043,Watika Chahal,CPU,Pending,224061
2044,Neelima Bhargava,Charger,Approved,592293
2045,Ojas Gera,Drone,Approved,923055
2046,Neelima Varughese,CPU,Rejected,584199
2047,Krishna Gara,Drone,Pending,653973
2048,Urvashi Dave,AC,Rejected,235311
2049,Aadhya Bose,Drone,Approved,552747
2050,Imaran Kale,AC,Approved,070113
2051,Pranav Johal,Camera,Approved,550979
2052,Radhika Manne,AC,Approved,049622
2053,Isha Taneja,Earbuds,Rejected,792889
2054,Eta Dasgupta,Earbuds,Rejected,919268
2055,Krishna Varughese,CPU,Rejected,771271
2056,Aarav Dhar,Charger,Pending,655958
2057,Rishi Vala,Camera,Rejected,702056
2058,Harish Kapur,Charger,Rejected,737890
2059,Yasti Sunder,Air Purifier,Approved,629064
2060,Girik Chaudhry,Drone,Rejected,717973
2061,Panini Bhargava,Camera,Rejected,180592
2062,Mekhala Walia,Earbuds,Pending,986484
2063,Neelima Varghese,Camera,Rejected,883485
2064,Fariq Dasgupta,Charger,Approved,930562
2065,Shaurya Iyengar,Earbuds,Pending,499881
2066,Charan Wali,Camera,Approved,809889
2067,Wakeeta Goel,AC,Approved,617699
2068,Eta Mittal,Charger,Approved,602232
2069,Pranit Chander,Earbuds,Rejected,752693
2070,Ojasvi Mahal,Earbuds,Approved,541688
2071,Manya Rout,Air Purifier,Approved,234945
2072,Chaitanya Mitter,AC,Rejected,441529
2073,Kashvi Varkey,Air Purifier,Rejected,465636
2074,Tanmayi Kalla,Camera,Approved,102246
2075,Aachal Parmar,AC,Approved,806249
2076,Nitesh Biswas,Camera,Approved,397962
2077,Prisha Mander,Earbuds,Approved,965584
2078,Naksh Yadav,Charger,Approved,520844
2079,Vasudha Ram,Earbuds,Approved,586558
2080,Anvi Tata,Drone,Approved,418111
2081,Ayush Madan,Air Purifier,Rejected,358082
2082,Isaac Sengupta,Earbuds,Approved,502301
2083,Lila Date,Charger,Approved,479972
2084,Faraj Agrawal,Earbuds,Rejected,566746
2085,Chandran Mishra,Drone,Approved,670220
2086,Krishna Kala,Charger,Rejected,356540
2087,Sara Bhattacharyya,Earbuds,Rejected,094257
2088,Girindra Jain,Charger,Approved,548876
2089,Yashica Wali,Drone,Approved,073491
2090,Yahvi Dada,Earbuds,Approved,003209
2091,Charita Dada,Air Purifier,Approved,850143
2092,Ayushman Nagarajan,Air Purifier,Rejected,632330
2093,Ishita Barad,CPU,Rejected,926019
2094,Abhiram Chana,Drone,Approved,866961
2095,Karan Dhar,Earbuds,Rejected,560903
2096,Henry Mitter,Earbuds,Pending,645493
2097,Utkarsh Nath,Camera,Approved,703214
2098,Radha Bains,CPU,Approved,422346
2099,Timothy Rai,Earbuds,Approved,913788
2100,Jeet Radhakrishnan,Camera,Approved,914214
2101,Bhavya Shankar,Camera,Approved,280781
2102,Ayushman Kota,AC,Rejected,006574
2103,Osha Som,Air Purifier,Pending,039975
2104,Hamsini Verma,Air Purifier,Rejected,588323
2105,Chasmum Sani,Earbuds,Rejected,712979
2106,Vedika Gade,Drone,Rejected,119521
2107,Warjas Balan,Drone,Rejected,429959
2108,Diya Gara,Drone,Approved,746157
2109,Aachal Devi,Camera,Pending,255244
2110,Patrick Hegde,Air Purifier,Rejected,569414
2111,Brinda Kannan,CPU,Rejected,763264
2112,Faraj Jani,Air Purifier,Approved,223183
2113,Matthew Prashad,Air Purifier,Approved,702266
2114,Gopal Biswas,Camera,Rejected,633623
2115,Aayush Mukhopadhyay,Camera,Approved,837207
2116,Patrick Rajagopal,Camera,Rejected,388706
2117,Naveen Bala,Charger,Approved,655307
2118,Lipika Sahota,Air Purifier,Rejected,746559
2119,Champak Viswanathan,AC,Approved,506508
2120,Garima Rege,Camera,Pending,536887
2121,Kashvi Balan,Earbuds,Rejected,774764
2122,Zansi Yohannan,Air Purifier,Rejected,253136
2123,Ayushman Mani,Drone,Approved,740734
2124,Nitara Narang,AC,Approved,390709
2125,Upasna Grover,Drone,Rejected,195345
2126,Banjeet Sanghvi,Air Purifier,Rejected,017135
2127,Ucchal Kalita,Earbuds,Approved,406505
2128,Atharv Raghavan,Earbuds,Approved,173798
2129,Eesha Parsa,CPU,Pending,177807
2130,Forum Sahni,AC,Approved,587766
2131,Nandini Nayak,Drone,Rejected,466250
2132,Ayushman Bath,Earbuds,Rejected,938235
2133,Jack Randhawa,Air Purifier,Approved,367188
2134,Gavin Ratta,Drone,Rejected,998804
2135,Jackson D’Alia,Earbuds,Pending,663510
2136,Caleb Narula,Earbuds,Approved,345689
2137,Chandresh Palla,Drone,Approved,666774
2138,Yashawini Gokhale,Earbuds,Pending,419492
2139,Ojasvi Iyer,AC,Approved,837509
2140,Ronith Tripathi,Drone,Rejected,359260
2141,Hamsini Nagarajan,Earbuds,Approved,988501
2142,Pahal Tank,Earbuds,Pending,096258
2143,Gaurav Biswas,Charger,Pending,411237
2144,Jason Dara,Earbuds,Rejected,711735
2145,Mugdha Vora,Charger,Pending,042389
2146,Triya Garde,Air Purifier,Rejected,954824
2147,Rudra Ghosh,Camera,Pending,828898
2148,Vinaya Hegde,Earbuds,Rejected,183168
2149,Quincy Bahri,CPU,Pending,413426
2150,Fariq Dada,Earbuds,Pending,034585
2151,Urvashi Parekh,Camera,Rejected,957068
2152,Darpan Dua,Charger,Rejected,073852
2153,Girik Jha,AC,Approved,769573
2154,Jacob Srivastava,Camera,Rejected,962020
2155,Veer Kota,Charger,Approved,363286
2156,Udyati Chada,Earbuds,Rejected,155549
2157,Vansha Ramaswamy,CPU,Pending,557829
2158,Ekaraj Sami,Drone,Approved,373168
2159,Bahadurjit Rout,Air Purifier,Approved,902695
2160,Hemani Ranganathan,Camera,Approved,692140
2161,Triveni Rama,Charger,Approved,050916
2162,William Kanda,Charger,Pending,649479
2163,Nachiket Shroff,Camera,Approved,359542
2164,Ayaan Vig,CPU,Rejected,005082
2165,Hiral Khurana,Air Purifier,Approved,487866
2166,Arin Narain,Earbuds,Approved,655510
